"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2557","L'utente tenta di pagare un carrello con due RPT che hanno una quantita di versamenti e marche da bollo oltre il limite","","2026-07-27","passed","2026-07-27","","","",""
"","43777","L'utente paga un carrello con due RPT, entrambe senza versamento semplice e con una marca da bollo","","2026-07-27","passed","2026-07-27","","","",""
"","43471","L'utente paga un carrello con singola RPT con versamenti multipli gia esistente in GPD","","2026-07-27","passed","2026-07-27","","","",""
"","48997","L'utente paga un carrello con quattro RPT con un versamento ciascuna","","2026-07-27","passed","2026-07-27","","","",""
"","39696","L'utente paga un carrello con singola RPT con cinque versamenti","","2026-07-27","passed","2026-07-27","","","",""
"","40668","L'utente paga un carrello multibeneficiario con due RPT con un totale di due versamenti","","2026-07-27","passed","2026-07-27","","","",""
"","39717","L'utente paga un carrello con singola RPT con due versamenti","","2026-07-27","passed","2026-07-27","","","",""
"","6252","Utente tenta di pagare un pagamento singolo inserito da ACA e in stato valido","","2026-07-27","passed","2026-07-27","","","",""
"","39697","Utente paga un pagamento singolo con un versamento semplice e una marca da bollo","","2026-07-27","passed","2026-07-27","","","",""
"","6376","L'utente tenta di pagare un carrello con due RPT inserite da ACA e in stato non valido","","2026-07-27","passed","2026-07-27","","","",""
"","40191","L'utente paga un carrello multibeneficiario con due RPT con un totale di tre versamenti","","2026-07-27","passed","2026-07-27","","","",""
"","6321","L'utente tenta di pagare un carrello con due RPT gia esistenti in GPD in stato non valido","","2026-07-27","passed","2026-07-27","","","",""
"","39936","L'utente paga un carrello con singola RPT con un versamento","","2026-07-27","passed","2026-07-27","","","",""
"","43682","L'utente paga un carrello con singola RPT con una marca da bollo gia esistente in GPD","","2026-07-27","passed","2026-07-27","","","",""
"","43329","Utente paga un pagamento singolo con un versamento e nessuna marca da bollo gia esistente in GPD","","2026-07-27","passed","2026-07-27","","","",""
"","2459","L'utente tenta di pagare un carrello con una RPT che ha una quantita di versamenti oltre il limite","","2026-07-27","passed","2026-07-27","","","",""
"","44085","Utente paga un pagamento singolo senza versamenti semplici e una marca da bollo gia esistente in GPD","","2026-07-27","passed","2026-07-27","","","",""
"","41111","L'utente tenta di pagare un carrello con due RPT ma la chiusura del pagamento fallisce","","2026-07-27","passed","2026-07-27","","","",""
"","40102","L'utente paga un carrello multibeneficiario con due RPT con un totale di quattro versamenti","","2026-07-27","passed","2026-07-27","","","",""
"","7238","L'utente tenta di pagare un carrello con due RPT inserite da ACA e in stato valido","","2026-07-27","passed","2026-07-27","","","",""
"","48823","L'utente paga un carrello con cinque RPT con un versamento ciascuna","","2026-07-27","passed","2026-07-27","","","",""
"","39575","Utente paga un pagamento singolo con un versamento e nessuna marca da bollo","","2026-07-27","passed","2026-07-27","","","",""
"","40099","L'utente paga un carrello multibeneficiario con due RPT con un totale di cinque versamenti","","2026-07-27","passed","2026-07-27","","","",""
